75,张雷,男,博士,研究员,细胞增殖与分化,中国科学院上海生命科学研究院,中国
76,杨运桂,男,博士,研究员,基因表达调控与表观遗传学,中国科学院北京基因组研究所,中国
77,曾艺,女,博士,研究员,乳腺干细胞的调控机理,中国科学院上海生命科学研究院,加拿大
78,仇子龙,男,博士,研究员,自闭症的神经生物学机制与非人灵长类动物模型,中国科学院上海生命科学研究院,中国
79,朱楚洪,男,博士,教授,组织工程学,中国人民解放军第三军医大学,中国
80,周斌,男,博士,研究员,心血管发育与组织再生,中国科学院上海生命科学研究院,中国
81,秦礼萍,女,博士,教授,同位素宇宙化学,中国科学技术大学,中国
82,马坚伟,男,博士,教授,勘探地球物理学,哈尔滨工业大学,中国
83,汪亚平,男,博士,教授,河口海岸学：潮控河口海岸沉积体系与地貌演化的现代过程研究,南京大学,中国
84,刘瑜,男,博士,教授,地理空间模型与分析方法,北京大学,中国
85,刘俊国,男,博士,教授,自然－经济系统水资源评价理论与方法,南方科技大学,中国
86,黄小龙,男,博士,研究员,岩石学,中国科学院广州地球化学研究所,中国
87,张强,男,博士,教授,人为源大气污染物排放,清华大学,中国
88,张颖,女,博士,教授,黑土污染与生物修复,东北农业大学,中国
89,袁林旺,男,博士,教授,地理信息系统,南京师范大学,中国
90,姜大膀,男,博士,研究员,古气候模拟,中国科学院大气物理研究所,中国
91,陈玖斌,男,博士,研究员,金属稳定同位素环境地球化学,中国科学院地球化学研究所,中国
92,黄雨,男,博士,教授,地震工程地质学,同济大学,中国
93,郭庆军,男,博士,研究员,稳定同位素地球化学与地球环境,中国科学院地理科学与资源研究所,中国
94,傅平青,男,博士,研究员,气溶胶化学,中国科学院大气物理研究所,中国
95,陈海山,男,博士,教授,陆气相互作用,南京信息工程大学,中国
96,刘全有,男,博士,教授,成烃-成藏油气地球化学,中国石油化工股份有限公司石油勘探开发研究院,中国
97,倪喜军,男,博士,研究员,古灵长类学与古人类学,中国科学院古脊椎动物与古人类研究所,中国
98,韩永明,男,博士,研究员,焦炭与烟炱地球化学,中国科学院地球环境研究所,中国
99,赵亮,男,博士,研究员,地震学,中国科学院地质与地球物理研究所,中国
100,吴元保,男,博士,教授,岩石学,中国地质大学（武汉）,中国
101,郝青振,男,博士,研究员,第四纪地质学,中国科学院地质与地球物理研究所,中国
102,俞炜,男,博士,教授,高分子流变学与高分子加工,上海交通大学,中国
103,李寒莹,男,博士,教授,单晶复合有机光电功能材料与器件,浙江大学,中国
104,沈洋,男,博士,副教授,无机/聚合物复合电介质的理性设计与性能调控,清华大学,中国
105,罗小兵,男,博士,教授,器件封装中流动与传热,华中科技大学,中国
106,余学斌,男,博士,教授,金属基储氢材料,复旦大学,中国
107,牛军峰,男,博士,教授,环境工程,北京师范大学,中国
108,卢新培,男,博士,教授,大气压非平衡等离子体及其生物医学应用,华中科技大学,中国
109,张拥军,男,博士,教授,生物医用高分子材料,南开大学,中国
110,王树青,男,博士,教授,海洋结构健康监测基础理论及应用关键技术,中国海洋大学,中国
111,张建民,男,博士,研究员,水电工程泄洪消能和防冲保护,四川大学,中国
112,苏仕健,男,博士,教授,高效率有机电致发光材料与器件,华南理工大学,中国
113,尤业字,男,博士,教授,生物医用高分子材料,中国科学技术大学,中国
114,朱嘉琦,男,博士,教授,红外增透保护薄膜及金刚石单晶,哈尔滨工业大学,中国
115,公茂琼,男,博士,研究员,混合工质深度制冷的工程热物理问题,中国科学院理化技术研究所,中国
116,彭芳瑜,男,博士,教授,数控加工技术与装备,华中科技大学,中国
117,贾宏杰,男,博士,教授,综合能源系统的稳定性与运行优化,天津大学,中国
118,王慧远,男,博士,教授,轻合金非平衡凝固与组织控制,吉林大学,中国
119,徐赵东,男,博士,教授,结构抗震,东南大学,中国
120,王守国,男,博士,教授,磁性功能材料,北京科技大学,中国
121,詹良通,男,博士,教授,环境岩土工程,浙江大学,中国
122,刘刚,男,博士,教授,金属材料的强韧化与变形断裂,西安交通大学,中国
123,卢义玉,男,博士,教授,水力化网格碎裂煤层增透理论与实践,重庆大学,中国
124,詹梅,女,博士,教授,塑性加工工艺、模具与设备,西北工业大学,中国
125,王建强,男,博士,副研究员,汽车智能安全,清华大学,中国
126,靳健,女,博士,研究员,高分子分离膜设计制备与应用研究,中国科学院苏州纳米技术与纳米仿生研究所,中国
127,伊廷华,男,博士,教授,结构健康监测,大连理工大学,中国
128,刘乃安,男,博士,研究员,森林火灾动力学,中国科学技术大学,中国
129,刘咏,男,博士,教授,粉末冶金,中南大学,中国
130,魏振忠,男,博士,教授,机械测试理论与技术,北京航空航天大学,中国
131,崔光磊,男,博士,研究员,高能量密度固态锂电池关键材料的研究,中国科学院青岛生物能源与过程研究所,中国
132,张亚雷,男,博士,研究员,废水处理与资源化,同济大学,中国
133,蒋丽忠,男,博士,教授,高性能结构抗震及稳定性,中南大学,中国
134,刘红忠,男,博士,教授,微/纳机械传感与控制,西安交通大学,中国
135,史迅,男,博士,研究员,无机热电能量转换材料,中国科学院上海硅酸盐研究所,中国
136,侯健,男,博士,教授,油气藏渗流力学与提高采收率方法,中国石油大学（华东）,中国
137,薛强,男,博士,研究员,岩土力学与岩土工程,中国科学院武汉岩土力学研究所,中国
138,王建华,男,博士,教授,社会水循环与水资源高效利用,中国水利水电科学研究院,中国
139,刘畅,男,博士,研究员,碳纳米管的可控制备与应用探索,中国科学院金属研究所,中国
140,李智军,男,博士,教授,面向人机协作的可穿戴康复机器人基础理论与关键技术,华南理工大学,中国
141,李向阳,男,博士,教授,无线网络性能分析、优化与保障研究,中国科学技术大学,中国
142,彭承志,男,博士,研究员,量子通信与量子信息,中国科学技术大学,中国
143,吴淮宁,男,博士,教授,复杂动态系统智能控制,北京航空航天大学,中国
144,林宙辰,男,博士,教授,图像处理与模式识别,北京大学,中国
145,徐淮良,男,博士,教授,超快强场激光非线性光谱学,吉林大学,中国
146,宋令阳,男,博士,研究员,无线协作通信,北京大学,中国
147,王亦洲,男,博士,研究员,图像结构的感知机制与计算,北京大学,中国
148,缪峰,男,博士,教授,新型电子信息材料及器件研究,南京大学,中国
149,陈红胜,男,博士,教授,新型隐身,浙江大学,中国
150,吕建成,男,博士,教授,神经网络子空间学习,四川大学,中国
151,徐明伟,男,博士,教授,大规模网络路由理论与技术,清华大学,中国
152,吴飞,男,博士,教授,多媒体分析,浙江大学,中国
153,柴利,男,博士,教授,滤波器组框架理论及应用,武汉科技大学,中国
154,马凯学,男,博士,教授,微波毫米波电路及集成系统,电子科技大学,中国
155,金石,男,博士,教授,多天线无线传输理论与关键技术,东南大学,中国
156,朱樟明,男,博士,教授,低功耗模拟前端集成电路,西安电子科技大学,中国
157,沈国震,男,博士,研究员,柔性电子学,中国科学院半导体研究所,中国
158,王雪松,男,博士,教授,瞬态极化成像雷达理论与技术,中国人民解放军国防科学技术大学,中国
159,韩鸿宾,男,博士,教授,脑信息提取、处理分析与成像新方法研究,北京大学,中国
160,徐坤,男,博士,教授,微波的光子调控,北京邮电大学,中国
161,何军,男,博士,研究员,新型二维硫族半导体及电子、光电子器件,国家纳米科学中心,中国
162,曾涛,男,博士,研究员,双/多基地雷达系统与信息处理方法研究,北京理工大学,中国
163,刘建国,男,博士,研究员,高速光电子器件,中国科学院半导体研究所,中国
164,黄志明,男,博士,研究员,红外与太赫兹,中国科学院上海技术物理研究所,中国
165,谢少荣,女,博士,研究员,智能与自主机器人,上海大学,中国
166,詹乃军,男,博士,研究员,复杂安全攸关嵌入式系统形式设计,中国科学院软件研究所,中国
167,李肯立,男,博士,教授,高效能计算,湖南大学,中国
168,郑思齐,女,博士,教授,城镇发展与管理,清华大学,中国
169,靳庆鲁,男,博士,教授,制度、体制改革与会计及财务问题研究,上海财经大学,中国
170,方颖,男,博士,教授,计量经济学方法及其在经济管理中的应用,厦门大学,中国
171,余淼杰,男,博士,教授,国际贸易与中国经济转型发展,北京大学,中国
172,朱旭峰,男,博士,教授,公共管理与公共政策,清华大学,中国
173,周鹏,男,博士,教授,能源经济与管理,南京航空航天大学,中国
174,王兆华,男,博士,教授,能源资源可持续发展管理及政策建模,北京理工大学,中国
175,虞先濬,男,博士,教授,胰腺癌外科综合治疗的基础和临床转化研究,复旦大学,中国
176,贾立军,男,博士,研究员,肿瘤分子生物学,复旦大学,中国
177,沈颖,男,博士,教授,运动和精神疾病的小脑调控机制,浙江大学,中国
178,徐明,男,博士,研究员,心力衰竭心脏重塑,北京大学,中国
179,杨莉,女,博士,副教授,急性肾损伤,北京大学,中国
180,王辉,女,博士,教授,临床微生物学,北京大学,中国
181,杨波,女,博士,教授,抗肿瘤药物药理,浙江大学,中国
182,徐骁,男,博士,教授,肝移植原病复发的分子机制及防治研究,浙江大学,中国
183,张智红,女,博士,教授,肿瘤免疫光学分子成像,华中科技大学,中国
184,陈悦,男,博士,教授,癌症干细胞的药物化学,南开大学,中国
185,王平,男,博士,教授,肿瘤微环境与泛素化调控,同济大学,中国
186,徐峰,男,博士,主任医师,肺部感染的分子发病机制,浙江大学,中国
187,卜军,男,博士,主任医师,心血管系统内科学（冠心病事件链机制及其干预）,上海交通大学,中国
188,李春英,女,博士,教授,皮肤病学,中国人民解放军第四军医大学,中国
189,张占军,男,博士,教授,中医药学研究的新方法与新技术,北京师范大学,中国
190,石明,男,博士,教授,肿瘤学（消化系统肿瘤）,中山大学,中国
191,张纪岩,女,博士,研究员,免疫信号调控与炎症消退机制,中国人民解放军军事医学科学院,中国
192,黄园,女,博士,教授,克服组织和细胞屏障的高效递药系统的构建与机制研究,四川大学,中国
193,李成涛,男,博士,研究员,法医学,司法部司法鉴定科学技术研究所,中国
194,罗成,男,博士,研究员,药物化学,中国科学院上海药物研究所,中国
195,范志朋,男,博士,研究员,口腔医学,首都医科大学,中国
196,许琪,女,博士,研究员,重性精神疾病发病机制,中国医学科学院基础医学研究所,中国
197,刘光慧,男,博士,研究员,利用多能干细胞技术研究和治疗衰老相关疾病,中国科学院生物物理研究所,中国
198,白晓春,男,博士,教授,骨与软骨退行性病变的机制,南方医科大学,中国
199,王延江,男,博士,教授,神经病学,中国人民解放军第三军医大学,中国
200,周欣,男,博士,研究员,超灵敏磁共振成像,中国科学院武汉物理与数学研究所,中国
