79,樊江莉,女,博士,教授,染料精细化工,大连理工大学
80,刘培念,男,博士,教授,表面合成化学,华东理工大学
81,李从刚,男,博士,研究员,核磁共振波谱学,中国科学院武汉物理与数学研究所
82,杨恒权,男,博士,教授,乳液界面催化,山西大学
83,蓝斐,男,博士,研究员,组蛋白甲基化的动态调控机制,复旦大学
84,蔡时青,男,博士,研究员,衰老的分子神经生物学机制研究,中国科学院上海生命科学研究院
85,于黎,女,博士,研究员,哺乳动物分子系统发育和适应性进化,云南大学
86,向烨,男,博士,研究员,分子生物物理,清华大学
87,秦国政,男,博士,研究员,园艺作物采后生物学,中国科学院植物研究所
88,沈晓骅,女,博士,副教授,细胞命运决定中非编码核酸介导的转录和染色质调控,清华大学
89,毕彦超,女,博士,教授,认知心理学与认知神经科学,北京师范大学
90,王晓伟,男,博士,教授,媒介昆虫传播植物病毒,浙江大学
91,晏向华,男,博士,教授,动物分子营养学,华中农业大学
92,王应祥,男,博士,研究员,植物生殖生物学,复旦大学
93,张龙,男,博士,教授,肿瘤细胞转移的内驱力与外泌体,浙江大学
94,巫永睿,男,博士,研究员,玉米胚乳发育与遗传改良,中国科学院上海生命科学研究院
95,姜长涛,男,博士,研究员,鞘脂神经酰胺与代谢性疾病,北京大学
96,储诚进,男,博士,教授,群落生态学,中山大学
97,杨力,男,博士,研究员,计算生物学,中国科学院上海生命科学研究院
98,杨辉,男,博士,研究员,基因编辑,中国科学院上海生命科学研究院
99,潘巍峻,男,博士,研究员,造血干细胞归巢与增殖微环境研究,中国科学院上海生命科学研究院
100,谌小维,男,博士,研究员,系统神经科学,中国人民解放军第三军医大学
101,徐强,男,博士,教授,柑橘基因组学与遗传改良,华中农业大学
102,于海鹏,男,博士,教授,林木生物质精炼,东北林业大学
103,谭安江,男,博士,研究员,昆虫生理生化,中国科学院上海生命科学研究院
104,谭明乾,男,博士,教授,食品营养组分包埋与递送机制,大连工业大学
105,曹鹏,男,博士,研究员,行为的神经生物学,北京生命科学研究所
106,陶小荣,男,博士,教授,植物病毒病害,南京农业大学
107,柳振峰,男,博士,研究员,膜蛋白结构生物学,中国科学院生物物理研究所
108,郭亚龙,男,博士,研究员,植物适应性进化,中国科学院植物研究所
109,孙飞,男,博士,研究员,生物电镜前沿技术,中国科学院生物物理研究所
110,朱作峰,男,博士,教授,水稻种质资源创新与优异基因挖掘,中国农业大学
111,程红,女,博士,研究员,RNA转运与降解的机制和功能,中国科学院上海生命科学研究院
112,杨琛,女,博士,研究员,微生物代谢流量调控,中国科学院上海生命科学研究院
113,赵建国,男,博士,研究员,猪功能基因组学和基因编辑,中国科学院动物研究所
114,崔宗强,男,博士,研究员,单病毒示踪,中国科学院武汉病毒研究所
115,姚红杰,男,博士,研究员,细胞命运决定的表观遗传机理,中国科学院广州生物医药与健康研究院
116,陈实,男,博士,教授,微生物表观遗传,武汉大学
117,刘颖,女,博士,研究员,细胞应激与稳态调控,北京大学
118,李毓龙,男,博士,研究员,神经生物学,北京大学
119,孔照胜,男,博士,研究员,细胞骨架与植物细胞形态建成,中国科学院微生物研究所
120,周志刚,男,博士,研究员,鱼类消化道微生物与宿主互作,中国农业科学院饲料研究所
121,程昊,男,博士,教授,变质岩年代学,同济大学
122,袁文平,男,博士,教授,陆地生态系统碳循环模型,中山大学
123,吴忠庆,男,博士,教授,矿物高温高压物性的第一性原理计算研究,中国科学技术大学
124,赵鹏军,男,博士,研究员,交通地理学,北京大学
125,袁志刚,男,博士,教授,内磁层-电离层耦合,武汉大学
126,吴怀春,男,博士,教授,古生代旋回地层学与天文年代学,中国地质大学（北京）
127,赵传峰,男,博士,教授,云物理学,北京师范大学
128,周顺桂,男,博士,教授,土壤生物电化学,福建农林大学
129,张立强,男,博士,教授,遥感图像/点云识别与理解,北京师范大学
130,李思亮,男,博士,教授,流域风化和地表过程,天津大学
131,袁增伟,男,博士,教授,资源流动及其环境效应,南京大学
132,王爱慧,女,博士,研究员,陆气相互作用和气候变化,中国科学院大气物理研究所
133,程晓,男,博士,教授,极地遥感,北京师范大学
134,唐朝生,男,博士,教授,极端气候工程地质,南京大学
135,汪名怀,男,博士,教授,气溶胶、云与气候相互作用,南京大学
136,史大林,男,博士,教授,海洋生物地球化学与全球变化,厦门大学
137,高彦征,男,博士,教授,土壤有机污染过程与控制,南京农业大学
138,王鑫,男,博士,研究员,物理海洋,中国科学院南海海洋研究所
139,黄迪颖,男,博士,研究员,中生代昆虫化石,中国科学院南京地质古生物研究所
140,王林,男,博士,研究员,东亚冬季风变异特征和机理,中国科学院大气物理研究所
141,田辉,男,博士,研究员,石油与天然气地球化学,中国科学院广州地球化学研究所
142,王力哲,男,博士,教授,遥感数据处理的理论与方法,中国地质大学（武汉）
143,王小萍,女,博士,研究员,持久性有机污染物区域循环,中国科学院青藏高原研究所
144,林霄沛,男,博士,教授,海洋环流动力学,中国海洋大学
145,付巧妹,女,博士,研究员,人类古基因组学,中国科学院古脊椎动物与古人类研究所
